uuid;global_rating;number_of_ratings;name;steps;meal_type;origin;prep_time;servings;description;difficulty;photo_url
7a62eaea1565c352310b;5;131;Best ever chunky guacamole;Use a large knife to pulverise 1 large ripe tomato to a pulp on a board, then tip into a bowl.Halve and stone the 3 avocados (saving a stone) and use a spoon to scoop out the flesh into the bowl with the tomato.Tip the juice of 1 large lime, a handful of roughly chopped coriander, 1 finely chopped small red onion and 1 deseeded and finely chopped red or green chilli into the bowl, then season with salt and pepper.Use a whisk to roughly mash everything together. If not serving straight away, sit a stone in the guacamole (this helps to stop it going brown), cover with cling film and chill until needed.;starter;Mexican;10;8;This is the best version of this classic dip. The ingredients are kept to a minimum, so it's as fresh-tasting as possible...;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--281678_12.jpg?itok=BuMNir6m
0992b75fd5a8cc6a3e3e;5;48;Mushroom soup;Heat the butter in a large saucepan and cook the onions and garlic until soft but not browned, about 8-10 mins. Add the mushrooms and cook over a high heat for another 3 mins until softened. Sprinkle over the flour and stir to combine. Pour in the chicken stock, bring the mixture to the boil, then add the bay leaf and simmer for another 10 mins. Remove and discard the bay leaf, then remove the mushroom mixture from the heat and blitz using a hand blender until smooth. Gently reheat the soup and stir through the cream (or, you could freeze the soup at this stage – simply stir through the cream when heating). Scatter over the parsley, if you like, and serve.;starter;French;35;4;Make the most of mushrooms with this comforting mushroom soup recipe made with cream, onions and garlic. Serve for lunch or as a starter with crusty bread;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2019/06/mushroom_soup.jpg?itok=cPp8cbeG
25b3e1b39fa86f866446;5;6;Chicken liver pâté;Heat 1 tbsp of the butter in a non-stick frying pan over a medium heat. When the butter is foaming, add the chicken livers and fry for 2 mins each side.Stir the crushed garlic, some of the thyme and Madeira into the pan with the livers. Fry for 2 mins, letting the Madeira simmer. Transfer the mixture to a food processor, reserve 200g of the butter and add the rest to the processor. Blend everything to a smooth paste. Season to taste, then spoon into 4 x 70ml clip-top jars.Melt the reserved butter in a medium frying pan and add the sliced garlic. Turn the garlic in the butter until slightly golden. Pour into the 4 jars of pâté, ensuring a few slices of garlic and the remaining thyme leaves go in each jar, and chill in the fridge for at least 4 hrs, or until set. Can be made up to 2 days in advance.Before serving, toast the brioche, then cut into triangular quarters for serving. Stir the diced apple through the chutney. Serve the pâté on small wooden boards with the toasted brioche, cornichons and chutney.;starter;French;25;4;James Martin's luxuriously rich dinner party starter can be made up to two days in advance for fuss-free entertaining - serve with toasted brioche, cornichons and chutney...;Medium;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/chicken-liver-pate.jpg?itok=ijq-fY_-
6de778e5c687e14b0e50;4;3;Crayfish cocktail with horseradish cream;First, make the horseradish cream by mixing together the crème fraîche, horseradish sauce and half of the lime juice. Keep the sauce covered and chill until needed.Take two glass serving dishes and put 1 chicory leaf in each. Finely shred the rest of the chicory and divide it between the dishes. Stone, peel and thinly slice the avocado, toss in the remaining lime juice and put on the shredded chicory. Lay the crayfish tails over the top.Add the horseradish cream and a light sprinkling of cayenne pepper to serve.;starter;English;15;2;Give the classic prawn cocktail a twist by pairing crayfish tails with tangy horseradish and creamy avocado in this delicious dinner party starter;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/crayfish-cocktail-with-horseradish-cream.jpg?itok=M9WxsLK2
6549326c3784d1c5cff0;4;7;Lunchbox mains;Chicken guacamole wrap Take 1 tortilla wrap and spread 2 tbsp shop-bought guacamole down the middle. Lay ½ shredded chicken breast and ½ sliced red pepper on top. Sprinkle with 30g grated cheddar and roll up tightly. Wrap in baking parchment and tie with string, or roll tightly in cling film (serves 1).Very easy pasta salad Cook 85g pasta shapes, adding 3 tbsp each frozen peas and frozen sweetcorn for the final min. Drain rinse in cold water. Mix 1 tbsp each natural yogurt and shop-bought balsamic dressing, with 1 tsp mayo. Pour onto the pasta, then stir in 1 tbsp chopped basil and 3 halved cherry tomatoes (serves 1).Mini ham rolls Mix 1 tbsp mayo with 1 tsp each wholegrain mustard and honey. Split 2 small wholemeal rolls in half and spread each side with the mayo mix. Stuff each roll with 2-3 slices cucumber, 1 Baby Gem leaf and 1 slice ham (serves 1).Ploughman's lunchbox Cut a chunk of cheddar and 1 apple into wedges (squeeze over some lemon juice to stop them going brown). Place 2 Baby Gem leaves in a container, then spoon 2 tbsp chutney into one leaf and use the other leaf to hold a salad made of 1 small grated carrot, 3 cherry tomatoes and 1 tbsp cress. Serve with a selection of crackers, if you like (serves 1).Sweet potato & chickpea soup Heat 1 tbsp olive oil in a pan soften 1 finely diced onion for 3 mins. Add 2 sliced garlic cloves, cook for 3 mins more. Add 1 tsp each ground cumin and ground coriander, cook for 1 min. Add 1 sweet potato, cut into 1cm cubes. Fry for 2 mins, then pour over 600ml hot vegetable stock. Boil for 10 mins until potato is tender. Add 220g can drained chickpeas. Heat through before whizzing until smooth. Stir in 1 tbsp soured cream and 50ml milk. Pour into a thermos when hot (serves 2).;main;American;30;2;Satisfying and nutritious lunchbox fillers which take minutes to make;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--49325_11.jpg?itok=804DzVqu
4324264498e040b4fdc7;5;1682;Chicken & chorizo jambalaya;Heat 1 tbsp olive oil in a large frying pan with a lid and brown 2 chopped chicken breasts for 5-8 mins until golden.Remove and set aside. Tip in the 1 diced onion and cook for 3-4 mins until soft.Add 1 thinly sliced red pepper, 2 crushed garlic cloves, 75g sliced chorizo and 1 tbsp Cajun seasoning, and cook for 5 mins more.Stir the chicken back in with 250g long grain rice, add the 400g can of tomatoes and 350ml chicken stock. Cover and simmer for 20-25 mins until the rice is tender.;main;Spanish;55;4;A Cajun-inspired rice pot recipe with spicy Spanish sausage, sweet peppers and tomatoes;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1274503_8.jpg?itok=y2r-R0BV
bdc7448d788edf8e88f4;5;759;Spicy root & lentil casserole;Heat the oil in a large pan and cook the onion and garlic over a medium heat for 3-4 minutes until softened, stirring occasionally. Tip in the potatoes, carrots and parsnips, turn up the heat and cook for 6-7 minutes, stirring, until the vegetables are golden.Stir in the curry paste or powder, pour in the stock and then bring to the boil. Reduce the heat, add the lentils, cover and simmer for 15-20 minutes until the lentils and vegetables are tender and the sauce has thickened.Stir in most of the coriander, season and heat for a minute or so.Top with yogurt and the rest of the coriander. Serve with naan bread.;main;Indian;45;4;The potatoes in this recipe take on the spicy flavours beautifully - our idea of the perfect veggie supper;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--488691_11.jpg?itok=ExaTspz1
a2f4e2e307aa28f20b89;5;703;Red lentil, chickpea & chilli soup;Heat a large saucepan and dry-fry 2 tsp cumin seeds and a large pinch of chilli flakes for 1 min, or until they start to jump around the pan and release their aromas.Add 1 tbsp olive oil and 1 chopped red onion, and cook for 5 mins. Stir in 140g red split lentils, 850ml vegetable stock or water and a 400g can tomatoes, then bring to the boil. Simmer for 15 mins until the lentils have softened. Whizz the soup with a stick blender or in a food processor until it is a rough purée, pour back into the pan and add a 200g can drained and rinsed chickpeas.Heat gently, season well and stir in a small bunch of chopped coriander, reserving a few leaves to serve. Finish with 4 tbsp 0% Greek yogurt and extra coriander leaves.;main;Indian;35;4;Come home to a warming bowlful of this filling, low-fat soup;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--265545_11.jpg?itok=Qs_SAvtD
cb63700d3badc09031a7;4;679;Summer-in-winter chicken;Heat the oil in a frying pan, preferably non-stick. Add the chicken and fry without moving it until it takes on a bit of colour. Turn the chicken and cook on the other side. Continue cooking for 12-15 mins until the chicken is cooked through. Season all over with a little salt and pepper.Halve the tomatoes and throw them into the pan, stirring them around for a couple of minutes until they start to soften. Reduce the heat and stir in the pesto and crème fraîche until it makes a sauce. Scatter with a few basil leaves if you have them, then serve with rice and salad or mash and broccoli.;main;English;25;4;Pining for summer? This simply seasoned chicken fried with beautiful, ripe, cherry tomatoes in a creamy sauce is guaranteed to hit the spot. Add a dollop of pesto for an extra layer of nutty flavours;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1035651_10.jpg?itok=4Sn11UC2
381784f839eae80dffe7;4;611;Falafel burgers;Drain a 400g can chickpeas and pat dry with kitchen paper.Tip into a food processor along with 1 small roughly chopped red onion, 1 garlic clove, handful of flat-leaf parsley, 1 tsp ground cumin, 1 tsp ground coriander, ½ tsp harissa paste or chillli powder, 2 tbsp plain flour and a little salt.Blend until fairly smooth, then shape into four patties with your hands.Heat 2 tbsp sunflower oil in a non-stick frying pan, add the burgers, then quickly fry for 3 mins on each side until lightly golden.Serve with toasted pitta bread, 200g tub tomato salsa and a green salad.;main;Middle East;16;4;A healthy burger that's filling too. These are great for anyone who craves a big bite but doesn't want the calories...;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/01/recipe-image-legacy-id--326597_11.jpg?itok=0bBEqeae
287b2c962512f7153d66;5;562;Mustard-stuffed chicken;Heat oven to 200C/fan 180C/gas 6. Mix the cheeses and mustard together. Cut a slit into the side of each chicken breast, then stuff with the mustard mixture. Wrap each stuffed chicken breast with 2 bacon rashers – not too tightly, but enough to hold the chicken together. Season, place on a baking sheet and roast for 20-25 mins.;main;French;30;4;This is so good we'd be surprised if this chicken fillet recipe doesn't become a firm favourite. Save it to your My Good Food collection and enjoy...;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1274488_8.jpg?itok=vS12pL7b
684a85ea430c1fc1c513;5;583;Chicken biryani;Soak 300g basmati rice in warm water, then wash in cold until the water runs clear.Heat 25g butter in a saucepan and cook 1 finely sliced large onion with 1 bay leaf, 3 cardamom pods and 1 small cinnamon stick for 10 mins.Sprinkle in 1 tsp turmeric, then add 4 chicken breasts, cut into large chunks, and 4 tbsp curry paste. Cook until aromatic.Stir the rice into the pan with 85g raisins, then pour over 850ml chicken stock.Place a tight-fitting lid on the pan and bring to a hard boil, then lower the heat to a minimum and cook the rice for another 5 mins.Turn off the heat and leave for 10 mins. Stir well, mixing through 15g chopped coriander. To serve, scatter over the leaves of the remaining 15g coriander and 2 tbsp toasted almonds.;main;Indian;40;4;A great one-pot rice dish that can still be served up a few days later, perfect for leftovers;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--328452_12.jpg?itok=U8ngdhdS
bce50bc9645667072133;5;514;Creamy courgette lasagne;Heat oven to 220C/fan 200C/gas 7. Put a pan of water on to boil, then cook the lasagne sheets for about 5 mins until softened, but not cooked through. Rinse in cold water, then drizzle with a little oil to stop them sticking together.Meanwhile, heat the oil in a large frying pan, then fry the onion. After 3 mins, add the courgettes and garlic and continue to fry until the courgette has softened and turned bright green. Stir in 2/3 of both the ricotta and the cheddar, then season to taste. Heat the tomato sauce in the microwave for 2 mins on High until hot.In a large baking dish, layer up the lasagne, starting with half the courgette mix, then pasta, then tomato sauce. Repeat, top with blobs of the remaining ricotta, then scatter with the rest of the cheddar. Bake on the top shelf for about 10 mins until the pasta is tender and the cheese is golden.;main;Italian;30;4;Serve up this creamy quick dish for a last minute dinner party and impress veggie friends;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1273575_8.jpg?itok=dBBt-qP6
02f1939873c5ed70986c;5;544;Veggie shepherd's pie with sweet potato mash;Heat 1 tbsp olive oil in a frying pan, then fry 1 halved and sliced large onion until golden.Add 2 large carrots, cut into sugar-cube size pieces and most of the 2 tbsp chopped thyme, reserving a sprinkling for later.Pour in 200ml red wine, 150ml water and a 400g chopped tomatoes, then crumble in 2 vegetable stock cubes and simmer for 10 mins.Tip in a 410g can green lentils, including the juice, then cover and simmer for another 10 mins until the carrots still have a bit of bite and the lentils are pulpy.Meanwhile, boil 950g sweet potatoes, cut into chunks, for 15 mins until tender, drain well, then mash with 25g butter and season to taste.Pile the lentil mixture into a pie dish, spoon the mash on top, then sprinkle over 85g grated vegetarian mature cheddar and the remaining thyme. The pie can now be covered and chilled for 2 days, or frozen for up to a month.Heat oven to 190C/170C fan/gas 5. Cook for 20 mins if cooking straightaway, or for 40 mins from chilled, until golden and hot all the way through. Serve with broccoli.;main;English;70;4;The secret to this shepherd's pie’s filling is to choose big carrots so they don’t lose their texture when cooked...;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--560451_11.jpg?itok=ma2pok11
0528174c0168ac50d4d4;5;574;Cottage pie;Heat 1 tbsp olive oil in a large saucepan and fry 1¼ kg beef mince until browned – you may need to do this in batches. Set aside as it browns.Put the other 2 tbsp olive oil into the pan, add 2 finely chopped onions, 3 chopped carrots and 3 chopped celery sticks and cook on a gentle heat until soft, about 20 mins.Add 2 finely chopped garlic cloves, 3 tbsp plain flour and 1 tbsp tomato purée, increase the heat and cook for a few mins, then return the beef to the pan.Pour over a large glass of red wine, if using, and boil to reduce it slightly before adding the 850ml beef stock, 4 tbsp Worcestershire sauce, a few thyme sprigs and 2 bay leaves.Bring to a simmer and cook, uncovered, for 45 mins. By this time the gravy should be thick and coating the meat. Check after about 30 mins – if a lot of liquid remains, increase the heat slightly to reduce the gravy a little. Season well, then discard the bay leaves and thyme stalks.Meanwhile, make the mash. In a large saucepan, cover the 1.8kg potatoes which you've peeled and chopped, in salted cold water, bring to the boil and simmer until tender.Drain well, then allow to steam-dry for a few mins. Mash well with the 225ml milk, 25g butter, and three-quarters of the 200g strong cheddar cheese, then season with freshly grated nutmeg and some salt and pepper.Spoon the meat into 2 ovenproof dishes. Pipe or spoon on the mash to cover. Sprinkle on the remaining cheese.If eating straight away, heat oven to 220C/200C fan/gas 7 and cook for 25-30 mins, or until the topping is golden.If you want to use a slow cooker, brown your mince in batches then tip into your slow cooker and stir in the vegetables, flour, purée, wine, stock, Worcestershire sauce and herbs with some seasoning. Cover and cook on High for 4-5 hours. Make the mash following the previous steps, and then oven cook in the same way to finish.;main;English;145;1;This great-value family favourite freezes beautifully and is a guaranteed crowd-pleaser;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1074465_10.jpg?itok=Zwn8Cd-1
92699b7582199135ad27;5;517;Home-style chicken curry;Roughly chop 1 large onion, transfer to a small food processor, and add 3 tbsp of water - process to a slack paste. You could use a stick blender for this or coarsely grate the onion into a bowl – there’s no need to add any water if you are grating the onion. Tip into a small bowl and leave on one side.Put 6 roughly chopped garlic cloves and 50g roughly chopped ginger into the same food processor and add 4 tbsp water – process until smooth and spoon into another small bowl. Alternatively, crush the garlic to a paste with a knife or garlic press and finely grate the ginger.Heat 4 tbsp vegetable oil in a wok or sturdy pan set over a medium heat.Combine 2 tsp cumin seeds and 1 tsp fennel seeds with a 5cm cinnamon stick and 1 tsp chilli flakes and add to the pan in one go. Swirl everything around for about 30 secs until the spices release a fragrant aroma.Add the onion paste – it will splutter in the beginning. Fry until the water evaporates and the onions turn a lovely dark golden - this should take about 7-8 mins.Add the garlic and ginger paste and cook for another 2 mins – stirring all the time.Stir in 1 tsp garam masala, 1 tsp turmeric, and 1 tsp caster sugar and continue cooking for 20 secs before tipping in a 400g can chopped tomatoes.Continue cooking on a medium heat for about 10 mins without a lid until the tomatoes reduce and darken.Cut 8 skinless, boneless chicken thighs into 3cm chunks and add to the pan once the tomatoes have thickened to a paste.Cook for 5 mins to coat the chicken in the masala and seal in the juices, and then pour over 250ml hot chicken stock.Simmer for 8-10 mins without a lid until the chicken is tender and the masala lightly thickened – you might need to add an extra ladleful of stock or water if the curry needs it.Sprinkle with 2 tbsp chopped coriander and serve with Indian flatbreads or fluffy basmati rice and a pot of yogurt on the side.;main;Indian;45;4;A rustic and authentic quick Indian one-pot packed with tonnes of hot Asian spices and fragrant coriander;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--908515_10.jpg?itok=rhm4Vwap
19d959d6874b812a9094;5;494;The best spaghetti bolognese recipe;Put a large saucepan on a medium heat and add 1 tbsp olive oil.Add 4 finely chopped bacon rashers and fry for 10 mins until golden and crisp.Reduce the heat and add the 2 onions, 2 carrots, 2 celery sticks, 2 garlic cloves and the leaves from 2-3 sprigs rosemary, all finely chopped, then fry for 10 mins. Stir the veg often until it softens.Increase the heat to medium-high, add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.Add 2 tins plum tomatoes, the finely chopped leaves from ¾ small pack basil, 1 tsp dried oregano, 2 bay leaves, 2 tbsp tomato purée, 1 beef stock cube, 1 deseeded and finely chopped red chilli (if using), 125ml red wine and 6 halved cherry tomatoes. Stir with a wooden spoon, breaking up the plum tomatoes.Bring to the boil, reduce to a gentle simmer and cover with a lid. Cook for 1 hr 15 mins stirring occasionally, until you have a rich, thick sauce.Add the 75g grated parmesan, check the seasoning and stir.When the bolognese is nearly finished, cook 400g spaghetti following the pack instructions.Drain the spaghetti and stir into the bolognese sauce. Serve with more grated parmesan, the remaining basil leaves and crusty bread, if you like.;main;Italian;135;6;Our best ever spaghetti bolognese is super easy and a true Italian classic with a meaty, chilli sauce. This recipe comes courtesy of BBC Good Food user Andrew Balmer;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/the-best-spaghetti-bolognese.jpg?itok=PH6AqY-g
