uuid;name;steps;meal_type;origin;prep_time;servings;description;difficulty;photo_url;
de519abd9941bdff93c8;Cheddar & hazelnut shortbread;Blitz 85g of the hazelnuts in a food processor until ground. Cut the rest of the hazelnuts in half. Pulse the ground hazelnuts, butter, flour, cheddar, ½ tsp salt and the egg in the food processor a few times. Don’t pulse for too long – you want the mixture to look like breadcrumbs rather than coming together in a ball. Tip the mixture onto a large piece of cling film and, using the cling film to shape it, mould it into a ball, then leave in the fridge for a couple of hours. Heat oven to 200C/180C fan/gas 6. Pull off chunks of the dough – about a tablespoon at a time – and roll each piece into a ball. Place on a baking sheet and flatten each biscuit to around 3.5cm across, leaving room between each one. Push 3-4 hazelnut halves into each biscuit. Cook for 10 mins, or until the biscuits are golden brown. Leave to cool on the baking sheet, then transfer to a wire rack. Will keep for up to three days in an airtight container.;starter;English;35;4;Hazelnuts and cheese are perfect together – rustle up these savoury shortbread biscuits with just five ingredients. They make a great mid-afternoon snack...;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2018/09/cheddar-hazelnut-shortbread.jpg?itok=JpRl_JH6";
e23a94d2d97032cbae31;Tomato tart with cheddar crust;Heat oven to 180C/fan 160C/gas 3. Blitz the flour, butter and cheddar in a food processor until the mixture resembles breadcrumbs, then add the egg and whizz again until it forms a ball.Lightly dust a cool surface with flour and roll out the pastry. Line a 24cm loose-bottom tart tin with the pastry, then chill for 10 mins. Line the pastry case with greaseproof paper, fill with baking beans and bake for 15 mins. Remove the paper and baking beans and continue to cook for a further 10 mins, then remove from the oven.Mix together the Dijon mustard and crème fraîche and spread evenly over the pastry base. Halve the tomatoes, remove the stalk and arrange in the pastry case. Sprinkle with thyme and freshly ground black pepper. Return the tart to the middle of the oven and cook for 30 mins. Reduce the heat to 150C/fan 130C/gas 2 and cook for a further 30 mins. Serve warm or at room temperature.;starter;English;95;4;The perfect centrepiece for a summer meal;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--4213_12.jpg?itok=69TuVeWE";
de4fd04b5b2a6b3ad7bd;Membrillo, chorizo & cheddar toastie;Heat a large frying pan. Spread the membrillo paste over one slice of bread (you might need to mash it first with 1 tsp water if it’s very firm), top with the chorizo and cheese, and sandwich with the other slice. Spread the outside of both pieces of bread with mayo, and press on the sage leaves.Heat the oil in the pan and cook the toastie for 2-3 mins each side, squashing with a fish slice every now and then, until the bread is crisp and golden and the cheese has melted. Cut in half to serve.;starter;English;16;1;Make a cosy night in even more indulgent with this meltingly good quince paste, spicy sausage and cheese toasted sandwich - the perfect winter pick-me-up;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/11/membrillo-chorizo-cheddar-toastie.jpg?itok=APD7v724";
31ba495e2804d81a76db;Mexican potatoes;Boil the potatoes for 5 mins. Meanwhile, heat the oil in a frying pan and gently fry the onion for 8 mins. Add the garlic and spices, then fry for 2 mins more.Drain the potatoes and tip into the onion mix. Turn up the heat and shake the potatoes around so that they are all covered. Cook for 10 mins more until tender, then serve with soured cream, sprinkled with a little cayenne.;mexican;Mexican;35;4;Spicy fried potatoes with soured cream for dipping, great as part of a Tex-Mex meal;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--219594_11.jpg?itok=10veQZSm";
747c44e9b1a166711116;Mexican bake;Heat oven to 180C/160C fan/gas 4. Heat a non-stick frying pan, add the black beans and fajita spice mix, stir together and cook for 1-2 mins. Add the tomatoes and simmer over a low heat for 10 mins.Cut the tortillas in half. Lightly grease a 2-litre baking dish. Spread a third of the bean mixture over the base of the dish, followed by 3 tbsp of the cheese and a layer of tortillas. Repeat the process, finishing with a tortilla layer on top. Sprinkle over the remaining cheese. Bake for 15 mins until golden.;main;Mexican;40;4;Raid your storecupboard and try out this fresh idea for canned beans with fajita spices - top with tortillas and cheese;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1096460_11.jpg?itok=LCx-8aST";
86073e779a756565efb9;Mexican chicken stew;Heat the oil in a medium saucepan. Add the onion and cook for 5 mins or until softened and starting to turn golden, adding the garlic for the final min. Stir in the sugar, chipotle paste and tomatoes. Put the chicken into the pan, spoon over the sauce, and simmer gently for 20 mins until the chicken has cooked (add a splash of water if the sauce gets too dry).Remove the chicken from the pan and shred with 2 forks, then stir back into the sauce. Scatter with a little red onion, the coriander, and serve with remaining red onion, tortillas or rice.If you want to use a slow cooker, cook the onion and garlic as above, then put into your slow cooker with the sugar, chipotle, tomatoes and chicken. Cover and cook on High for 2 hours. Remove the chicken and shred then serve as above.;main;Mexican;45;4;Bring a touch of Mexican flavour to your midweek meal with this low-fat, one-pan supper;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1068489_11.jpg?itok=chmu8P5m";
d6727f46fef9807326a2;Mexican penne with avocado;Cook the pasta in salted water for 10-12 mins until al dente. Meanwhile, heat the oil in a medium pan. Add the sliced onion and pepper and fry, stirring frequently for 10 mins until golden. Stir in the garlic and spices, then tip in the tomatoes, half a can of water, the corn and bouillon. Cover and simmer for 15 mins.Meanwhile, toss the avocado with the lime juice and zest, and the finely chopped onion.Drain the penne and toss into the sauce with the coriander. Spoon the pasta into bowls, top with the avocado and scatter over the coriander leaves.;starter;Mexican;30;2;Get all five of your 5-a-day in this mildly spiced, healthy pasta dish. It's rich in iron, fibre and vitamin C as well as being low-fat and low-calorie...;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/11/mexican-penne.jpg?itok=Me76nQgF";
2aa986ba97ac6c0ba09f;Mexican beef chilli;Heat a small drizzle of the oil in an extra-large flameproof dish. Brown the meat in batches, adding a drop more oil, remove from the dish and set aside. Add 1 tbsp oil to the dish, then the onions, and cook for 7-10 mins or until caramelised.Stir the chipotle paste, garlic, ginger, cumin, cinnamon and flour in with the onions and cook for a couple of mins. Gradually add the stock, stirring all the time, so it’s fully mixed in with the other ingredients. Add the tomatoes and oregano, season and simmer for 10 mins.Now tip in the beef, cover and simmer very gently for about 1 hr 45 mins until tender, removing the lid and adding the beans for the final 15 mins. If the sauce is thin, let it boil down for a further 5-10 mins with the lid off. Before serving, adjust the seasoning. Serve with the garlic bread and salsa.;main;Mexican;150;1;A delicious one-pot of spicy braised beef is a great, stress-free way to fill up a hungry crowd;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1286468_8.jpg?itok=RMj5JJz0";
3e7d26c4653d6de4140d;Mexican bean soup with guacamole;Heat the oil in a medium pan, add the onion (reserving 1 tbsp to make the guacamole later) and pepper and fry, stirring frequently, for 10 mins. Stir in the garlic and spices, then tip in the tomatoes and beans with their liquid, half a can of water and the bouillon powder. Simmer, covered, for 15 mins.Meanwhile, peel and de-stone the avocado and tip into a bowl, add the remaining onion, coriander and lime juice with a little chilli (if using) and mash well. Ladle the soup into two bowls, top with the guacamole and serve.;starter;Mexican;30;2;This warming, spiced vegetarian soup packs in goodness and is filling too. The quick-to-assemble guacamole topping tastes as good as it looks;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/12/wdp-lunch-mexicanguacamolesoup_02051.jpg?itok=FT8ioSx_";
7b4a75c7a63924bacb2a;Mexican lime chicken;Mix 2 tbsp olive oil with 1 tsp each crushed coriander seeds and grated lime zest and 1⁄2 tsp each paprika and light muscovado sugar.Put 2 chicken breasts in a baking dish, spoon the marinade over, then squeeze over a little lime juice. Cover and marinate for 30 minutes.Slip 1-2 lime slices under the skin of each breast and season. Tuck 6 unpeeled garlic cloves and 2 fresh red chillies around the chicken.Roast the chicken breasts in a baking dish, uncovered, for 30-35 minutes in a preheated oven (190C/gas 5/fan oven 170C). To check if they are done, prod the chicken with your finger - if it's still a bit soft, give it a bit longer.Serve with salad and salsa.;main;Mexican;35;2;A recipe full of zingy flavours;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--4561_11.jpg?itok=wce8n408";
6a273fc5bda281a1050d;Mexican chicken stew with quinoa & beans;Heat the oil in a deep frying pan and fry the onions and peppers for a few mins until softened. Stir in the chipotle paste for a minute, followed by the tomatoes. Add up to a tomato can-full of water to cover the chicken and bring to a gentle simmer. Add the chicken breasts and gently simmer, turning the chicken occasionally, for 20 mins until the chicken is cooked through.Bring a large saucepan of water to the boil with the stock cubes. Add the quinoa and cook for 15 mins until tender, adding the beans for the final min. Drain well and stir in the coriander and lime juice, then check for seasoning before covering to keep warm.Lift the chicken out onto a board and shred each breast using two forks. Stir back into the tomato sauce with the sugar and season. Serve with the quinoa, scattering the stew with some coriander leaves just before dishing up and eating with a dollop of yogurt on the side.;main;Mexican;55;4;Spicy chicken casserole with a healthy superfood side dish of protein-rich quinoa;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--889478_10.jpg?itok=7kM8r_8Y";
6944a360615d3b68389a;Mexican chicken burger;Put the chicken breast between two pieces of cling film and bash with a rolling pin or pan to about 1cm thick. Mix the chipotle paste with half the lime juice and spread over the chicken.Heat a griddle pan over a high heat. Once hot, cook the chicken for 3 mins each side until cooked through, adding the cheese for the final 2 mins of cooking. Add the bun, cut-side down, to the griddle pan to toast lightly. Season the chicken.Meanwhile, mash the avocado with the remaining lime juice. Stir in the cherry tomatoes, jalapeño and garlic, and season with a little salt. Spread over the base of the bun, then add the chicken followed by the top of the bun.;main;Mexican;18;1;Ready in under 20 minutes, this burger with spiced chipotle chicken breast, in toasted brioche with guacamole, makes for a satisfying weeknight treat for one;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/10/mexican-chicken-burger.jpg?itok=_AGDavEw";
15b882b5e7589eb10aab;Mexican chilli chicken;Heat the oil in a large pan and fry the onion until softened. Stir in the spices and cook for a few secs. Pour in the tomatoes and 2 cans of water, then crumble in the stock cube. Bring to the boil and add the chorizo and chicken thighs. Push the chicken under the liquid, cover and simmer for 20 mins.Stir the peppers into the pan, then cook for 20 mins more. Tip in the cannellini beans.To eat now: Warm through to heat the beans. Toss the avocado with the lime and some salt and serve on top of the casserole with a sprinkling of coriander. Top each portion with soured cream. Serve with rice, jacket potatoes or a handful of spicy tortilla chips.To eat later: Cool and keep in the fridge for up to 48 hours. Warm on top of the stove until bubbling and serve as above.;main;Mexican;60;4;A great spicy supper that can be made in advance;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--5336_12.jpg?itok=eVymVGgC";
ee73890b0f9fee414386;Mexican bean salad;Lower the eggs into boiling water and boil for 6½ mins, then put into a bowl of cold water to cool. Slice the avocados and place in a large bowl with the beans, onion, coriander and tomatoes. Measure 3 tbsp of the dressing into a small bowl, then mix in the chilli and cumin. Once the eggs have cooled but are still warm, peel off the shells and cut into quarters. Toss the salad with the dressing and nestle in the eggs. Serve straight away – delicious with toasted tortillas.;starter;Mexican;20;4;Not one to leave your tummy rumbling, this filling salad really hits the spot and has a spicy kick;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--7835_12.jpg?itok=1iBhkNRH";
5f4db89807d5d1f23946;Mexican soup with chicken;Heat the oil in a large saucepan. Add the onion and garlic, soften for 5 mins, then stir in the dried chilli, cumin, tomatoes and chicken stock. Blitz in a food processor in batches, or use a hand blender to purée until smooth.Return to the pan, then bring to the boil. Add the chicken, reduce the heat, then simmer for 10 mins until cooked through. Stir in the lime juice and some seasoning, then ladle into bowls. Put the toppings in the middle of the table for everyone to help themselves.;starter;Mexican;30;4;All those typically Mexican flavours - lime, coriander, chilli - combined in a soup with the crunch of tortilla chips;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--488579_11.jpg?itok=QeGhfl50";
b75f44023b45c1d6a82e;Mexican sweet potato soup;Boil the kettle. Heat the vegetable oil in a large saucepan and fry the onion until just soft, about 4-5 mins. Stir in the chipotle paste and cook for 1 min more.Dissolve the stock cube in 1.2 litres boiling water from the kettle, and add to the pan along with the sweet potato. Bring to the boil, then simmer, covered, until the sweet potato is soft, about 10 mins. Whizz with a stick blender until smooth.Ladle the soup into bowls and serve with a dollop of crème fraîche, a scattering of coriander leaves and some crusty bread rolls.;starter;Mexican;30;4;A simple vegetarian soup flavoured with spicy chipotle chilli paste and served with coriander and crème fraîche;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/soup_2.jpg?itok=Gs09WVfl";
2ca0b7790c3238d9f9a3;Mexican fiesta rice;"Heat the oil in a large saucepan with a lid, then add the onion, pepper, garlic and cumin and sizzle gently for 8-10 mins until the vegetables are soft and golden. Stir in the tomato purée and smoked paprika and cook for 1 min, then stir in the rice.Pour over the stock, then cover and bring to the boil. Stir quickly, then cover again and place on the lowest heat possible. Simmer for 10 mins. Turn off the heat and leave, covered, for a further 10 mins. If serving straightaway, stir through the coriander and spring onions; alternatively, leave the rice to cool, chill, then re-fry before serving and stir the coriander and spring onions through at the end.";main;Mexican;40;8;Make this tasty Mexican rice to serve a crowd. Our recipe is vegan but if everyone you're cooking for eats meat, some chopped bacon in with the onions works well...;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2018/09/mexican-fiesta-rice.jpg?itok=luwxLZfW";
